OBJECTID,GRIZZLY_BEAR_POP_UNIT_ID,GRIZZLY_BEAR_POPULATION_TAG,POPULATION_NAME,DISPLAY_NAME,STATUS,WITHIN_BC_IND,VERSION_NAME,VERSION_YEAR_MODIFIED,WILDLIFE_MGMT_UNIT_ID,REGION_RESPONSIBLE,REGION_RESPONSIBLE_NAME,GAME_MANAGEMENT_ZONE_ID,GAME_MANAGEMENT_ZONE_NAME,National_Park,FID_WMU_BC,GBPU_MU_LEH_uniqueID,WMU_linkID,COUNTER_ID,MU,LEH_Zone,Closed_to_Hunting_2012,Closed_to_Hunting_2015,AREA_KM2,AREA_KM2_noWaterIce,EST_POP_2015,EST_POP_2018,EST_POP_DENSITY_2015,EST_POP_DENSITY_2018,GIS_File_Version_Date
1,777,84,Tatshenshini,Tatshenshini,Viable,Y,2015,,6-27,6,Skeena,6f,Atlin,,119,3,119,381,6-27, ,N,N,6790.531914,5096.290546,113,113,22.1729908,22.1729908,2020-01-21
2,778,73,Cassiar,Cassiar,Viable,Y,2015,,6-25,6,Skeena,6f,Atlin,,120,4,120,375,6-25,6-25B,N,N,6079.633169,5578.501868,84,84,15.05780602,15.05780602,2020-01-21
3,778,73,Cassiar,Cassiar,Viable,Y,2015,,6-24,6,Skeena,6e,Stikine,,122,5,122,369,6-24, ,N,N,9386.913439,9271.714803,179,179,19.30603027,19.30603027,2020-01-21
4,778,73,Cassiar,Cassiar,Viable,Y,2015,,6-23,6,Skeena,6e,Stikine,,123,6,123,366,6-23, ,N,N,11059.73825,10834.07205,167,167,15.41433334,15.41433334,2020-01-21
5,779,51,Taiga,Taiga,Viable,Y,2015,,7-46,7,Omineca,7Pe,Fort Nelson,,148,7,148,538,7-46, ,Y,Y,6143.768152,6123.903362,12,12,1.959534526,1.959534526,2020-01-21
6,779,51,Taiga,Taiga,Viable,Y,2015,,7-55,7,Omineca,7Pe,Fort Nelson,,191,8,191,553,7-55, ,Y,Y,18119.02148,17782.22871,30,30,1.687077641,1.687077641,2020-01-21
7,779,51,Taiga,Taiga,Viable,Y,2015,,7-56,7,Omineca,7Pe,Fort Nelson,,192,9,192,555,7-56, ,Y,Y,15897.94786,15753.93381,32,32,2.031238794,2.031238794,2020-01-21
8,779,51,Taiga,Taiga,Viable,Y,2015,,7-47,7,Omineca,7Pe,Fort Nelson,,195,10,195,539,7-47, ,Y,Y,9884.881328,9837.327973,20,20,2.033072472,2.033072472,2020-01-21
9,780,52,Hyland,Hyland,Viable,Y,2015,,7-53,7,Omineca,7Pd,Liard,,187,11,187,549,7-53, ,N,N,9859.401039,9810.780485,98,98,9.989011765,9.989011765,2020-01-21
10,780,52,Hyland,Hyland,Viable,Y,2015,,7-54,7,Omineca,7Pd,Liard,,189,12,189,551,7-54, ,N,N,7516.635611,7409.810714,133,133,17.94917679,17.94917679,2020-01-21
11,781,55,Muskwa,Muskwa,Viable,Y,2015,,7-52,7,Omineca,7Pd,Liard,,188,13,188,546,7-52, ,N,N,17527.01183,17328.84252,459,459,26.48763084,26.48763084,2020-01-21
12,781,55,Muskwa,Muskwa,Viable,Y,2015,,7-51,7,Omineca,7Pd,Liard,,190,14,190,545,7-51, ,N,N,18490.99202,17862.49016,381,381,21.32961273,21.32961273,2020-01-21
13,782,54,Taku,Taku,Viable,Y,2015,,6-26,6,Skeena,6f,Atlin,,121,15,121,377,6-26, ,N,N,19007.92574,16754.38973,354,354,21.12879181,21.12879181,2020-01-21
14,782,54,Taku,Taku,Viable,Y,2015,,6-22,6,Skeena,6e,Stikine,,124,16,124,359,6-22, ,N,N,13334.87744,10993.83745,222,222,20.19313049,20.19313049,2020-01-21
15,783,1,Rocky,Rocky,Viable,Y,2015,,7-36,7,Omineca,7Pc,Northeast Rockies,,147,17,147,514,7-36, ,N,N,3389.433083,3095.981176,36,36,11.62797737,11.62797737,2020-01-21
