OBJECTID,GRIZZLY_BEAR_POP_UNIT_ID,GRIZZLY_BEAR_POPULATION_TAG,POPULATION_NAME,DISPLAY_NAME,STATUS,WITHIN_BC_IND,REGION_RESPONSIBLE_NAME,GAME_MANAGEMENT_ZONE_NAME,National_Park,Closed_to_Hunting_2012,Closed_to_Hunting_2015,AREA_KM2,AREA_KM2_noWaterIce,EST_POP_2015,EST_POP_2018,EST_POP_DENSITY_2015,EST_POP_DENSITY_2018
1,777,84,Tatshenshini,Tatshenshini,Viable,Y,Skeena,Atlin,,N,N,6790.531914,5096.290546,113,113,22.1729908,22.1729908
2,778,73,Cassiar,Cassiar,Viable,Y,Skeena,Atlin,,N,N,6079.633169,5578.501868,84,84,15.05780602,15.05780602
3,778,73,Cassiar,Cassiar,Viable,Y,Skeena,Stikine,,N,N,9386.913439,9271.714803,179,179,19.30603027,19.30603027
4,778,73,Cassiar,Cassiar,Viable,Y,Skeena,Stikine,,N,N,11059.73825,10834.07205,167,167,15.41433334,15.41433334
5,779,51,Taiga,Taiga,Viable,Y,Omineca,Fort Nelson,,Y,Y,6143.768152,6123.903362,12,12,1.959534526,1.959534526
6,779,51,Taiga,Taiga,Viable,Y,Omineca,Fort Nelson,,Y,Y,18119.02148,17782.22871,30,30,1.687077641,1.687077641
7,779,51,Taiga,Taiga,Viable,Y,Omineca,Fort Nelson,,Y,Y,15897.94786,15753.93381,32,32,2.031238794,2.031238794
8,779,51,Taiga,Taiga,Viable,Y,Omineca,Fort Nelson,,Y,Y,9884.881328,9837.327973,20,20,2.033072472,2.033072472
9,780,52,Hyland,Hyland,Viable,Y,Omineca,Liard,,N,N,9859.401039,9810.780485,98,98,9.989011765,9.989011765
10,780,52,Hyland,Hyland,Viable,Y,Omineca,Liard,,N,N,7516.635611,7409.810714,133,133,17.94917679,17.94917679
11,781,55,Muskwa,Muskwa,Viable,Y,Omineca,Liard,,N,N,17527.01183,17328.84252,459,459,26.48763084,26.48763084
12,781,55,Muskwa,Muskwa,Viable,Y,Omineca,Liard,,N,N,18490.99202,17862.49016,381,381,21.32961273,21.32961273
13,782,54,Taku,Taku,Viable,Y,Skeena,Atlin,,N,N,19007.92574,16754.38973,354,354,21.12879181,21.12879181
14,782,54,Taku,Taku,Viable,Y,Skeena,Stikine,,N,N,13334.87744,10993.83745,222,222,20.19313049,20.19313049
15,783,1,Rocky,Rocky,Viable,Y,Omineca,Northeast Rockies,,N,N,3389.433083,3095.981176,36,36,11.62797737,11.62797737
16,783,1,Rocky,Rocky,Viable,Y,Omineca,North Peace,,N,N,2369.068573,2361.179309,24,24,10.1644125,10.1644125
17,783,1,Rocky,Rocky,Viable,Y,Omineca,North Peace,,N,N,2375.507652,2352.955026,23,23,9.774942398,9.774942398
18,783,1,Rocky,Rocky,Viable,Y,Omineca,Fort Nelson,,N,N,11030.04687,10937.06895,108,108,9.874674797,9.874674797
19,783,1,Rocky,Rocky,Viable,Y,Omineca,Northeast Rockies,,N,N,6807.037089,6594.512617,137,137,20.77484894,20.77484894
20,783,1,Rocky,Rocky,Viable,Y,Omineca,Northeast Rockies,,N,N,6065.820764,5982.830097,120,120,20.05739784,20.05739784
21,783,1,Rocky,Rocky,Viable,Y,Omineca,Northeast Rockies,,N,N,2522.791307,2515.430271,52,52,20.67240715,20.67240715
22,783,1,Rocky,Rocky,Viable,Y,Omineca,Northeast Rockies,,N,N,788.2852125,786.0895737,13,13,16.53755569,16.53755569
23,783,1,Rocky,Rocky,Viable,Y,Omineca,Northeast Rockies,,N,N,3033.44181,3032.657182,25,25,8.243596077,8.243596077
24,784,2,Alta,Alta,Viable,Y,Omineca,North Peace,,N,N,6213.850267,6195.390922,62,62,10.00743961,10.00743961
25,784,2,Alta,Alta,Viable,Y,Omineca,Fort Nelson,,N,N,7042.262141,6985.083568,70,70,10.02135468,10.02135468
26,785,56,Spatsizi,Spatsizi,Viable,Y,Skeena,Stikine,,Y,Y,430.5723432,409.1447716,14,14,34.21771622,34.21771622
27,786,83,Edziza-Lower Stikine,Edziza-Lower Stikine,Viable,Y,Skeena,Stikine,,N,N,2652.947596,2457.765217,72,72,29.29490471,29.29490471
28,787,3,Finlay-Ospika,Finlay-\Ospika,Viable,Y,Omineca,Upper Finlay,,N,N,7524.937882,7383.881463,216,216,29.2529068,29.2529068
29,787,3,Finlay-Ospika,Finlay-\Ospika,Viable,Y,Omineca,Upper Finlay,,N,N,7939.880055,7760.355869,208,208,26.80289459,26.80289459
30,787,3,Finlay-Ospika,Finlay-\Ospika,Viable,Y,Omineca,Upper Finlay,,N,N,8817.168979,8650.627471,370,370,42.7714653,42.7714653
31,787,3,Finlay-Ospika,Finlay-\Ospika,Viable,Y,Omineca,Upper Finlay,,N,N,6473.526145,6054.73699,177,177,29.23330879,29.23330879
32,788,59,Upper Skeena-Nass,Upper \Skeena-\Nass,Viable,Y,Skeena,Upper Skeena,,N,N,6626.012439,6537.034789,294,294,44.97451782,44.97451782
33,788,59,Upper Skeena-Nass,Upper \Skeena-\Nass,Viable,Y,Skeena,Upper Skeena,,N,N,10371.97357,9545.770732,461,461,48.29364014,48.29364014
34,790,62,Stewart,Stewart,Viable,Y,Skeena,North Coast,,N,N,2959.375188,1884.588435,70,70,37.14338684,37.14338684
35,790,62,Stewart,Stewart,Viable,Y,Skeena,North Coast,,N,N,5163.74876,3952.673612,185,185,46.80376434,46.80376434
36,791,5,Omineca,Omineca,Viable,Y,Omineca,Omineca,,N,N,13071.83964,12688.63789,308,308,24.27368546,24.27368546
37,791,5,Omineca,Omineca,Viable,Y,Omineca,Omineca,,N,N,5659.034959,5324.731673,37,37,6.948707104,6.948707104
38,791,5,Omineca,Omineca,Viable,Y,Omineca,Omineca,,N,N,3606.775343,3246.405414,18,18,5.544593811,5.544593811
39,791,5,Omineca,Omineca,Viable,Y,Omineca,Omineca,,N,N,7717.925272,7486.027031,39,39,5.20970583,5.20970583
40,792,63,Cranberry,Cranberry,Viable,Y,Skeena,Upper Skeena,,N,N,2412.101692,2360.1386,74,74,31.35409164,31.35409164
41,792,63,Cranberry,Cranberry,Viable,Y,Skeena,North Coast,,N,N,2167.161587,2140.992625,64,64,29.89267731,29.89267731
42,793,61,Babine,Babine,Viable,Y,Skeena,Upper Skeena,,N,N,4535.607373,4351.974758,154,154,35.38623428,35.38623428
43,793,61,Babine,Babine,Viable,Y,Skeena,Upper Nechako,,N,N,9787.006696,9391.05643,159,159,16.93100166,16.93100166
44,794,82,Moberly,Moberly,Viable,Y,Omineca,Omineca,,Y,Y,2414.709641,2168.914177,13,13,5.99378252,5.99378252
45,794,82,Moberly,Moberly,Viable,Y,Omineca,South Peace,,Y,Y,5397.647223,5353.238679,58,58,10.8345623,10.8345623
46,795,7,Parsnip,Parsnip,Viable,Y,Omineca,Upper Fraser,,N,N,3943.788279,3689.847039,181,181,49.05352402,49.05352402
47,795,7,Parsnip,Parsnip,Viable,Y,Omineca,Upper Fraser,,N,N,2735.833718,2702.660002,64,64,23.68037415,23.68037415
48,796,65,Bulkley-Lakes,Bulkley-\Lakes,Viable,Y,Skeena,Upper Nechako,,N,N,6784.176918,6334.515722,111,111,17.52304459,17.52304459
49,796,65,Bulkley-Lakes,Bulkley-\Lakes,Viable,Y,Skeena,Upper Nechako,,N,N,1295.850934,1270.907072,10,10,7.868395805,7.868395805
50,797,66,Khutzeymateen,Khutzeymateen,Viable,Y,Skeena,North Coast,,Y,Y,4274.196069,3788.914265,170,170,44.867733,44.867733
51,798,64,Nation,Nation,Viable,Y,Omineca,Mcleod Lake,,N,N,5095.499558,4861.836226,56,56,11.51828194,11.51828194
52,798,64,Nation,Nation,Viable,Y,Omineca,Mcleod Lake,,N,N,3342.340994,3212.252021,18,18,5.603545189,5.603545189
53,798,64,Nation,Nation,Viable,Y,Omineca,Mcleod Lake,,N,N,457.9112579,453.367593,8,8,17.64572525,17.64572525
54,798,64,Nation,Nation,Viable,Y,Omineca,Mcleod Lake,,N,N,4777.061508,4064.388357,23,23,5.65890789,5.65890789
55,798,64,Nation,Nation,Viable,Y,Omineca,Mcleod Lake,,N,N,1684.307533,1616.144285,9,9,5.568809509,5.568809509
56,799,70,Francois,Francois,Viable,Y,Skeena,Upper Nechako,,Y,Y,2747.457172,2482.228963,18,18,7.25154686,7.25154686
57,799,70,Francois,Francois,Viable,Y,Skeena,Upper Nechako,,Y,Y,1032.549162,1016.501941,7,7,6.886361599,6.886361599
58,799,70,Francois,Francois,Viable,Y,Skeena,Upper Nechako,,Y,Y,4920.343646,4279.109315,33,33,7.711885452,7.711885452
59,800,67,North Coast,North \Coast,Viable,Y,Skeena,North Coast,,N,N,5729.899827,5000.2432,166,166,33.19838333,33.19838333
60,800,67,North Coast,North \Coast,Viable,Y,Skeena,North Coast,,N,N,1437.899888,1247.214129,24,24,19.2428875,19.2428875
61,801,10,Robson,Robson,Viable,Y,Omineca,Fort George,,N,N,3002.861571,2944.570926,59,59,20.03687477,20.03687477
62,801,10,Robson,Robson,Viable,Y,Omineca,Fort George,,N,N,2014.086552,1991.180898,61,61,30.63508606,30.63508606
63,801,10,Robson,Robson,Viable,Y,Omineca,Upper Fraser,,N,N,3014.228227,2898.847597,77,77,26.56227875,26.56227875
64,801,10,Robson,Robson,Viable,Y,Omineca,Upper Fraser,,N,N,3779.038886,3674.655948,129,129,35.10532761,35.10532761
65,801,10,Robson,Robson,Viable,Y,Omineca,Upper Fraser,,N,N,2690.339673,2289.929931,60,60,26.20167542,26.20167542
66,802,69,Tweedsmuir,Tweedsmuir,Viable,Y,Cariboo,North Chilcotin,,Y,Y,3432.0788,3326.89583,63,63,18.93657112,18.93657112
67,802,69,Tweedsmuir,Tweedsmuir,Viable,Y,Cariboo,Central Coast,,N,N,1217.00676,898.5925364,25,25,27.82128525,27.82128525
68,802,69,Tweedsmuir,Tweedsmuir,Viable,Y,Cariboo,Central Coast,,N,N,1514.688133,1343.23818,42,42,31.26772308,31.26772308
69,802,69,Tweedsmuir,Tweedsmuir,Viable,Y,Cariboo,Central Coast,,Y,Y,2013.126004,1899.758896,56,56,29.47742462,29.47742462
70,802,69,Tweedsmuir,Tweedsmuir,Viable,Y,Skeena,Upper Nechako,,N,N,4847.774866,4232.305071,51,51,12.0501709,12.0501709
71,803,15,Kitlope-Fiordland,Kitlope-\Fiordland,Viable,Y,Skeena,North Coast,,Y,Y,6923.311489,5709.514822,115,115,20.14181709,20.14181709
72,804,11,Blackwater-West Chilcotin,Blackwater-\West Chilcotin,Threatened,Y,Cariboo,North Chilcotin,,Y,Y,8237.930022,8149.875802,15,15,1.840518832,1.840518832
73,804,11,Blackwater-West Chilcotin,Blackwater-\West Chilcotin,Threatened,Y,Cariboo,North Chilcotin,,Y,Y,10182.47581,10032.52806,20,20,1.993515491,1.993515491
74,804,11,Blackwater-West Chilcotin,Blackwater-\West Chilcotin,Threatened,Y,Skeena,Upper Nechako,,Y,Y,4242.002683,4048.219506,18,18,4.446399212,4.446399212
75,806,12,Quesnel Lake North,Quesnel \Lake \North,Viable,Y,Cariboo,Quesnel Highland,,Y,Y,1144.279982,1028.923753,30,30,29.15667915,29.15667915
76,806,12,Quesnel Lake North,Quesnel \Lake \North,Viable,Y,Cariboo,Quesnel Highland,,N,N,1667.744699,1532.282455,36,36,23.49436378,23.49436378
77,807,16,Wells Gray,Wells \Gray,Viable,Y,Thompson,North Thompson,,Y,Y,3205.076698,2846.202234,75,75,26.35090256,26.35090256
78,807,16,Wells Gray,Wells \Gray,Viable,Y,Thompson,North Thompson,,N,N,1694.866739,1584.315746,75,75,47.33905029,47.33905029
79,807,16,Wells Gray,Wells \Gray,Viable,Y,Thompson,North Thompson,,Y,Y,2201.402264,2058.180434,61,61,29.63782883,29.63782883
80,807,16,Wells Gray,Wells \Gray,Viable,Y,Thompson,North Thompson,,Y,Y,1656.297543,1645.388688,28,28,17.01725578,17.01725578
81,807,16,Wells Gray,Wells \Gray,Viable,Y,Thompson,North Thompson,,Y,Y,1592.149736,1557.729153,25,25,16.0490036,16.0490036
82,807,16,Wells Gray,Wells \Gray,Viable,Y,Cariboo,Cariboo,,Y,Y,2032.185037,1934.949016,19,19,9.819379807,9.819379807
83,808,14,Columbia-Shuswap,Columbia-\Shuswap,Viable,Y,Thompson,North Thompson,,Y,Y,955.9930047,947.4363523,20,20,21.10959816,21.10959816
84,808,14,Columbia-Shuswap,Columbia-\Shuswap,Viable,Y,Thompson,North Thompson,,Y,Y,1678.85675,1655.424149,5,5,3.02037406,3.02037406
85,808,14,Columbia-Shuswap,Columbia-\Shuswap,Viable,Y,Thompson,North Thompson,,N,N,1871.380524,1722.662745,15,15,8.707449913,8.707449913
86,810,21,Klinaklini-Homathko,Klinaklini-\Homathko,Viable,Y,Lower Mainland,South Coast,,Y,Y,2270.292622,1395.440314,68,68,48.73013687,48.73013687
87,810,21,Klinaklini-Homathko,Klinaklini-\Homathko,Viable,Y,Cariboo,South Chilcotin,,Y,Y,5864.96847,5103.63485,104,104,20.37763405,20.37763405
88,811,20,Kwatna-Owikeno,Kwatna-\Owikeno,Viable,Y,Cariboo,Central Coast,,Y,Y,7489.32871,5754.395189,138,138,23.98166847,23.98166847
89,813,36,South Chilcotin Ranges,South \Chilcotin \Ranges,Threatened,Y,Lower Mainland,Fraser Valley,,Y,Y,2149.873979,1819.175662,25,27,13.74248791,14.84188747
90,813,36,South Chilcotin Ranges,South \Chilcotin \Ranges,Threatened,Y,Thompson,West Fraser,,Y,Y,2363.605614,2095.017352,27,30,12.88772106,14.3196907
